category,tag,poi_subtype,service_role,life_circle_tier,is_life_service,supply_weight,count
交通,公交车站,bus_stop,basic_daily,5.0,1,1.0,7949
交通,道路;路口,road_facility,excluded,,0,0.0,6388
交通,交通设施;停车场,parking,excluded,,0,0.0,6264
交通,交通设施;路侧停车位,parking,excluded,,0,0.0,699
交通,地铁站,metro_station,daily_complete,10.0,1,1.3,382
交通,交通设施;充电站,fuel_charging,excluded,,0,0.0,341
交通,交通设施;加油加气站,fuel_charging,excluded,,0,0.0,300
交通,交通设施;桥,road_facility,excluded,,0,0.0,208
交通,交通设施;其他,other_traffic,excluded,,0,0.0,177
交通,交通设施;普通停车位,parking,excluded,,0,0.0,120
交通,交通设施;港口,port,city_resource,15.0,1,0.4,109
交通,交通设施;长途汽车站,coach_station,city_resource,15.0,1,0.8,35
交通,交通设施,other_traffic,excluded,,0,0.0,27
交通,交通设施;火车站,rail_station,city_resource,15.0,1,1.0,25
交通,交通设施;收费站,road_facility,excluded,,0,0.0,16
交通,交通设施;服务区,road_facility,excluded,,0,0.0,11
交通,交通设施;接送点,other_traffic,excluded,,0,0.0,4
交通,道路;其他,road_facility,excluded,,0,0.0,2
交通,交通设施;公交车站,bus_stop,basic_daily,5.0,1,1.0,1
交通,交通设施;飞机场,airport,city_resource,15.0,1,0.6,1
交通,道路,road_facility,excluded,,0,0.0,1
交通,道路;高速公路,road_facility,excluded,,0,0.0,1
休闲娱乐,休闲娱乐;洗浴按摩,spa_massage,city_resource,15.0,1,0.2,5927
休闲娱乐,休闲娱乐;游戏场所,internet_game,city_resource,15.0,1,0.25,2412
休闲娱乐,休闲娱乐;其他,other_recreation,daily_complete,15.0,1,0.2,1045
休闲娱乐,休闲娱乐;ktv,nightlife,city_resource,15.0,1,0.35,962
休闲娱乐,休闲娱乐;网吧,internet_game,city_resource,15.0,1,0.25,776
休闲娱乐,美食;茶座,cafe_tea,daily_complete,10.0,1,0.5,589
休闲娱乐,美食;酒吧,nightlife,city_resource,15.0,1,0.35,579
休闲娱乐,休闲娱乐;休闲广场,other_recreation,daily_complete,15.0,1,0.2,438
休闲娱乐,购物;商铺,recreation_noise,excluded,,0,0.0,398
休闲娱乐,丽人;美容,recreation_noise,excluded,,0,0.0,391
休闲娱乐,休闲娱乐;农家院,rural_resort,city_resource,15.0,1,0.2,390
休闲娱乐,休闲娱乐;电影院,cinema_theater,city_resource,15.0,1,0.8,370
休闲娱乐,美食;咖啡厅,cafe_tea,daily_complete,10.0,1,0.5,334
休闲娱乐,公司企业;公司,recreation_noise,excluded,,0,0.0,249
休闲娱乐,休闲娱乐;剧院,cinema_theater,city_resource,15.0,1,0.8,217
休闲娱乐,文化传媒;展览馆,culture_venue,city_resource,15.0,1,1.0,164
休闲娱乐,休闲娱乐,other_recreation,daily_complete,15.0,1,0.2,158
休闲娱乐,,recreation_noise,excluded,,0,0.0,124
休闲娱乐,生活服务;其他,recreation_noise,excluded,,0,0.0,119
休闲娱乐,文化传媒;文化宫,culture_venue,city_resource,15.0,1,1.0,117
休闲娱乐,房地产;住宅区,recreation_noise,excluded,,0,0.0,103
休闲娱乐,美食;中餐厅,food_social,daily_complete,10.0,1,0.5,99
休闲娱乐,房地产;写字楼,recreation_noise,excluded,,0,0.0,98
休闲娱乐,美食;蛋糕甜品店,food_social,daily_complete,10.0,1,0.5,88
休闲娱乐,酒店;其他,recreation_noise,excluded,,0,0.0,85
休闲娱乐,休闲娱乐;度假村,rural_resort,city_resource,15.0,1,0.2,78
休闲娱乐,休闲娱乐;歌舞厅,nightlife,city_resource,15.0,1,0.35,68
休闲娱乐,运动健身;其他,sports_fitness,daily_complete,10.0,1,0.9,57
休闲娱乐,购物;其他,recreation_noise,excluded,,0,0.0,56
休闲娱乐,教育培训;其他,recreation_noise,excluded,,0,0.0,54
休闲娱乐,教育培训;培训机构,recreation_noise,excluded,,0,0.0,49
休闲娱乐,文化传媒;其他,recreation_noise,excluded,,0,0.0,46
休闲娱乐,房地产;内部楼栋,recreation_noise,excluded,,0,0.0,44
休闲娱乐,教育培训,recreation_noise,excluded,,0,0.0,38
休闲娱乐,公司企业;农林园艺,recreation_noise,excluded,,0,0.0,37
休闲娱乐,运动健身;体育场馆,sports_fitness,daily_complete,10.0,1,0.9,36
休闲娱乐,休闲娱乐;游戏场所,park_scenic,daily_complete,10.0,1,1.1,32
休闲娱乐,丽人;美发,recreation_noise,excluded,,0,0.0,31
